y,nut,omega
0,0,40115.59
0.00086769924,1.3954611e-10,23398.604
0.0017874829,3.4028387e-09,4417.8302
0.0027624773,3.1893026e-08,1559.6048
0.0037959966,1.7747886e-07,742.44091
0.0048915537,7.1328978e-07,416.51878
0.0060528726,2.2970136e-06,258.40105
0.0072839007,6.2811624e-06,171.3148
0.0085888223,1.504535e-05,119.00597
0.0099720729,3.2049269e-05,85.679691
0.011438354,6.124789e-05,63.626286
0.01299265,0.0001060481,48.669442
0.014640245,0.00016859478,38.318283
0.016386737,0.00024983009,30.993759
0.018238064,0.00034999227,25.67712
0.020200518,0.00046908033,21.712536
0.022280771,0.00060711988,18.677682
0.024485892,0.00076427147,16.297917
0.026823378,0.00094085601,14.39147
0.029301173,0.0011373461,12.835383
0.0319277,0.0013543464,11.544522
0.034711887,0.0015925726,10.458582
0.037663197,0.0018528327,9.5339012
0.040791661,0.0021360094,8.7382284
0.044107915,0.0024430447,8.0472958
0.047623229,0.0027749258,7.4425337
0.051349553,0.0031326706,6.9095148
0.055299553,0.0035173142,6.4368735
0.059486654,0.0039298933,6.0155434
0.06392509,0.0043714311,5.6382096
0.068629948,0.0048429198,5.2989084
0.073617218,0.005345302,4.9927321
0.078903853,0.0058794499,4.7156071
0.084507823,0.0064461433,4.4641259
0.090448176,0.0070460447,4.2354177
0.096745104,0.0076796728,4.0270483
0.10342001,0.0083473738,3.8369419
0.11049558,0.0090492913,3.6633188
0.11799587,0.009785334,3.5046463
0.12594638,0.010555142,3.3595986
0.13437411,0.011358053,3.227025
0.14330773,0.012193069,3.1059236
0.1527776,0.013058822,2.9954194
0.1628159,0.013953543,2.8947469
0.17345677,0.014875033,2.8032346
0.18473635,0.015820639,2.7202927
0.19669301,0.016787236,2.6454022
0.20936737,0.017771219,2.578105
0.22280253,0.018768496,2.5179956
0.23704414,0.019774507,2.4647135
0.25214061,0.020784239,2.4179351
0.26814327,0.021792275,2.3773667
0.28510649,0.022792841,2.3427363
0.30308795,0.023779884,2.3137856
0.32214876,0.024747163,2.2902602
0.34235371,0.02568836,2.2718991
0.36377149,0.02659721,2.2584218
0.38647488,0.027467375,2.2495352
0.41054106,0.028293007,2.244882
0.43605183,0.029069628,2.2439655
0.46309391,0.029792872,2.2462395
0.49175922,0.030458666,2.2510786
0.52214518,0.031064445,2.2576667
0.55435509,0.031608865,2.2650019
0.58849842,0.032091966,2.2718657
0.62469124,0.032516509,2.2767159
0.66305656,0.032884336,2.2779343
0.70372479,0.033196822,2.2736486
0.74683417,0.033464906,2.2616016
0.79253123,0.033700188,2.239514
0.84097128,0.033911051,2.2051476
0.892319,0.034110285,2.1565293
0.9467489,0.034312559,2.0922466
1.004446,0.034533596,2.0117944
1.0656064,0.034788958,1.915909
1.1304381,0.035092301,1.806793
1.1991613,0.03545257,1.688121
1.2720096,0.0358656,1.5649608
1.3492308,0.036306857,1.4432428
1.4310872,0.036762083,1.3273277
1.5178571,0.037250739,1.2194823
1.6046271,0.03770224,1.1255219
1.6864835,0.037973244,1.0503386
1.7637046,0.038005075,0.9919535
1.836553,0.037803125,0.94645442
1.9052762,0.037384083,0.91089994
1.9701079,0.036766139,0.88328162
2.0312683,0.035967779,0.8622343
2.0889654,0.035008146,0.84682927
2.1433953,0.033906501,0.83644572
2.194743,0.032681139,0.83070472
2.2431831,0.031354544,0.82927564
2.2888801,0.029948159,0.83196531
2.3319895,0.028479143,0.83877148
2.3726577,0.026965919,0.8497241
2.411023,0.025425975,0.86493014
2.4472159,0.023875618,0.8845749
2.4813592,0.022329917,0.90892191
2.5135691,0.020802628,0.93831795
2.5439551,0.019306049,0.97320411
2.5726204,0.017851054,1.0141243
2.5826596,0.017329835,1.0318003
2.5996625,0.016447091,1.0617375
2.6251732,0.015102191,1.1168326
2.6492394,0.013823006,1.1803426
2.6719428,0.012614849,1.2533593
2.6933606,0.011481726,1.3371466
2.7135655,0.010426379,1.4331481
2.7326263,0.0094503154,1.5429884
2.7506078,0.0085538453,1.6684616
2.767571,0.0077361201,1.8115036
2.7835737,0.0069951893,1.9741453
2.7986701,0.0063280789,2.1584424
2.8129118,0.0057309456,2.3663859
2.8263469,0.0051991161,2.5997988
2.8390213,0.0047272788,2.8602354
2.8509779,0.0043098293,3.148895
2.8622575,0.0039410054,3.4665671
2.8728984,0.00361506,3.8136301
2.8829367,0.0033264668,4.1901067
2.8924066,0.0030700403,4.5958087
2.9013402,0.0028410983,5.030393
2.9097679,0.0026354811,5.4935969
2.9177184,0.0024495036,5.9854923
2.9252187,0.0022800189,6.5065706
2.9322943,0.0021243798,7.0579308
2.9389692,0.0019803715,7.6414185
2.9452661,0.0018461691,8.2597465
2.9512065,0.0017202862,8.9166034
2.9568104,0.0016015258,9.6167627
2.9620971,0.0014889366,10.366202
2.9670843,0.0013817762,11.17225
2.9717892,0.0012794705,12.043766
2.9762276,0.0011815834,12.991386
2.9804147,0.0010877945,14.027832
2.9843647,0.00099787503,15.168326
2.9880911,0.00091166926,16.431125
2.9916064,0.00082907892,17.838224
2.9949226,0.00075004989,19.416284
2.9980511,0.00067456153,21.197846
3.0010024,0.00060261801,23.222949
3.0037866,0.00053424146,25.541298
3.0064131,0.00046946693,28.215196
3.0088909,0.00040833909,31.323569
3.0112284,0.00035091079,34.967584
3.0134335,0.00029724385,39.27865
3.0155138,0.00024741284,44.430163
3.0174762,0.00020151325,50.655447
3.0193275,0.00015967615,58.276773
3.021074,0.00012209229,67.755997
3.0227216,8.9045894e-05,79.791321
3.0242759,6.0945073e-05,95.518159
3.0257422,3.8294312e-05,116.94709
3.0271255,2.1500431e-05,147.92217
3.0284304,1.0471215e-05,196.18676
3.0296614,4.2931874e-06,278.035
3.0308227,1.4332859e-06,430.53922
3.0319183,3.707466e-07,751.30527
3.0329518,6.7782824e-08,1564.3699
3.0339268,7.2755006e-09,4419.8156
3.0348466,2.9877038e-10,23398.805
3.0357143,0,40115.019
